,rb,rnb,x,y,x_num,y_num
0,0.0,-3.0,0,0,0.0,0.0
1,0.0,-2.9,0,0,0.0,0.0
2,0.0,-2.8,0,0,0.0,0.0
3,0.0,-2.7,0,0,0.0,0.0
4,0.0,-2.6,0,0,0.0,0.0
5,0.0,-2.5,0,0,0.0,0.0
6,0.0,-2.4,0,0,0.0,0.0
7,0.0,-2.3,0,0,0.0,0.0
8,0.0,-2.2,0,0,0.0,0.0
9,0.0,-2.1,0,0,0.0,0.0
10,0.0,-2.0,0,0,0.0,0.0
11,0.0,-1.9,0,0,0.0,0.0
12,0.0,-1.8,0,0,0.0,0.0
13,0.0,-1.7,0,0,0.0,0.0
14,0.0,-1.6,0,0,0.0,0.0
15,0.0,-1.5,0,0,0.0,0.0
16,0.0,-1.4,0,0,0.0,0.0
17,0.0,-1.3,0,0,0.0,0.0
18,0.0,-1.2,0,0,0.0,0.0
19,0.0,-1.1,0,0,0.0,0.0
20,0.0,-1.0,0,0,0.0,0.0
21,0.0,-0.9,0,0,0.0,0.0
22,0.0,-0.8,0,0,0.0,0.0
23,0.0,-0.7,0,0,0.0,0.0
24,0.0,-0.6,0,0,0.0,0.0
25,0.0,-0.5,0,0,0.0,0.0
26,0.0,-0.4,0,0,0.0,0.0
27,0.0,-0.3,0,0,0.0,0.0
28,0.0,-0.2,0,0,0.0,0.0
29,0.0,-0.1,0,0,0.0,0.0
30,0.0,0.0,0,0,0.0,0.0
31,0.1,-3.0,0,0,0.0,0.0
32,0.1,-2.9,0,0,0.0,0.0
33,0.1,-2.8,0,0,0.0,0.0
34,0.1,-2.7,0,0,0.0,0.0
35,0.1,-2.6,0,0,0.0,0.0
36,0.1,-2.5,0,0,0.0,0.0
37,0.1,-2.4,0,0,0.0,0.0
38,0.1,-2.3,0,0,0.0,0.0
39,0.1,-2.2,0,0,0.0,0.0
40,0.1,-2.1,0,0,0.0,0.0
41,0.1,-2.0,0,0,0.0,0.0
42,0.1,-1.9,0,0,0.0,0.0
43,0.1,-1.8,0,0,0.0,0.0
44,0.1,-1.7,0,0,0.0,0.0
45,0.1,-1.6,0,0,0.0,0.0
46,0.1,-1.5,0,0,0.0,0.0
47,0.1,-1.4,0,0,0.0,0.0
48,0.1,-1.3,0,0,0.0,0.0
49,0.1,-1.2,0,0,0.0,0.0
50,0.1,-1.1,0,0,0.0,0.0
51,0.1,-1.0,0,0,0.0,0.0
52,0.1,-0.9,0,0,0.0,0.0
53,0.1,-0.8,0,0,0.0,0.0
54,0.1,-0.7,0,0,0.0,0.0
55,0.1,-0.6,0,0,0.0,0.0
